hash,s_num,rarity,bg,body,misc,hand
,,,,,,
1523495953608225115,CryptoStykz #1,1.65,"('imgs\\background\\.3\\roof5.png', 0.3)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\chaingun_hippie.png', 0.3)"
,,,,,,
-8315164098482896199,CryptoStykz #2,1.085,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.5\\stkeh6z12.png', 0.5)","('imgs\\Misc\\.085\\leo sig.png', 0.085)","('imgs\\weapons\\.4\\axe_2side amethyst.png', 0.4)"
,,,,,,
7813824259959789209,CryptoStykz #3,1.9,"('imgs\\background\\.3\\14.png', 0.3)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\valmet m76 tree bark.png', 0.4)"
,,,,,,
-2844956501909215527,CryptoStykz #4,1.65,"('imgs\\background\\.3\\forest3.png', 0.3)","('imgs\\Stick Bodies\\.15\\dino.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\samuraiswords16.png', 0.3)"
,,,,,,
4929346482236123360,CryptoStykz #5,2,"('imgs\\background\\.3\\15.png', 0.3)","('imgs\\Stick Bodies\\.5\\Baha man.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rk95 suppressed pine.png', 0.3)"
,,,,,,
4300237154305347186,CryptoStykz #6,1.85,"('imgs\\background\\.6\\V2 collection - Back Scene3.png', 0.6)","('imgs\\Stick Bodies\\.05\\sprites_pete.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\assault rifle qbert.png', 0.3)"
,,,,,,
-4564346926743185718,CryptoStykz #7,1.9,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.5\\royster.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\hatori hanzo sword bricks.png', 0.4)"
,,,,,,
-7838108604352998388,CryptoStykz #8,2.07,"('imgs\\background\\.6\\V2 collection - Catwalk with ladder4.png', 0.6)","('imgs\\Stick Bodies\\.5\\Ob7.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\sig550.png', 0.07)"
,,,,,,
-8573530545034715200,CryptoStykz #9,1.5,"('imgs\\background\\.3\\stairs6.png', 0.3)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\real gun pine.png', 0.15)"
,,,,,,
1374363021263889559,CryptoStykz #10,1.8,"('imgs\\background\\.1\\V2 collection - Back Scene0.png', 0.1)","('imgs\\Stick Bodies\\.5\\Wuerte.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\saiga12k bricks.png', 0.3)"
,,,,,,
7696656710211468189,CryptoStykz #11,2.1,"('imgs\\background\\.6\\3droom24.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rifle 3dgreen.png', 0.3)"
,,,,,,
-2428108064365949933,CryptoStykz #12,2.2,"('imgs\\background\\.6\\basic village section 22.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\pancor jackhammer mk1.png', 0.4)"
,,,,,,
7577355519152660664,CryptoStykz #13,1.87,"('imgs\\background\\.6\\basic village section 20.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2.png', 0.07)"
,,,,,,
4096586432737584292,CryptoStykz #14,2.05,"('imgs\\background\\.6\\V2 collection - Catwalk with ladder3.png', 0.6)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\H&K AMRa MKII cracks.png', 0.4)"
,,,,,,
8273246650885385347,CryptoStykz #15,2.4,"('imgs\\background\\.6\\V2 collection - Back Scene3.png', 0.6)","('imgs\\Stick Bodies\\.5\\Pictoguy_Picto.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\gr16 red cubes.png', 0.4)"
,,,,,,
1941335075724585491,CryptoStykz #16,1.87,"('imgs\\background\\.6\\outer space0.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2 blue.png', 0.07)"
,,,,,,
4061135046957002232,CryptoStykz #17,2.4,"('imgs\\background\\.6\\outer space4.png', 0.6)","('imgs\\Stick Bodies\\.5\\base_picto.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\V2 collection - Knife 2.png', 0.4)"
,,,,,,
8481235257103499119,CryptoStykz #18,2.4,"('imgs\\background\\.6\\outer space7.png', 0.6)","('imgs\\Stick Bodies\\.5\\wu_clone.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\M4Commando marble3.png', 0.4)"
,,,,,,
-4485590785951916988,CryptoStykz #19,2.1,"('imgs\\background\\.6\\outer space8.png', 0.6)","('imgs\\Stick Bodies\\.3\\general grevious.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\samuraiswords13.png', 0.3)"
,,,,,,
