snum,wins,victories,rounds
#441,115,22,"['#441', '#441', '#441', '#345', '#441', '#441', '#441', '#515', '#441', '#441', '#441', '#441', '#441', '#482', '#441', '#958', '#441', '#441', '#958', '#441', '#319', '#441', '#441', '#441', '#319', '#691', '#441', '#441', '#441', '#691', '#814', '#441', '#814', '#814', '#441', '#441', '#441', '#84', '#84', '#441', '#441', '#854', '#441', '#441', '#441', '#441', '#359', '#441', '#359', '#359', '#441', '#441', '#441', '#441', '#441', '#908', '#441', '#908', '#441', '#441', '#441', '#441', '#38', '#38', '#38', '#95', '#441', '#95', '#95', '#95', '#441', '#441', '#693', '#693', '#441', '#441', '#495', '#441', '#441', '#441', '#441', '#441', '#441', '#441', '#302', '#743', '#441', '#743', '#743', '#743', '#441', '#441', '#143', '#143', '#143', '#909', '#909', '#909', '#909', '#909', '#939', '#939', '#441', '#441', '#939', '#441', '#170', '#441', '#441', '#441', '#441', '#441', '#441', '#769', '#441', '#774', '#441', '#774', '#774', '#774', '#298', '#441', '#441', '#441', '#298', '#441', '#78', '#441', '#78', '#441', '#248', '#248', '#441', '#441', '#441', '#441', '#227', '#441', '#227', '#227', '#844', '#441', '#844', '#844', '#844', '#979', '#441', '#441', '#979', '#979', '#701', '#441', '#701', '#701', '#701', '#441', '#639', '#639', '#639', '#639', '#510', '#441', '#441', '#510', '#441', '#982', '#982', '#982', '#441', '#441', '#918', '#918', '#441', '#918', '#918', '#441', '#441', '#981', '#981', '#981', '#336', '#336', '#336', '#336', '#441', '#441', '#496', '#441', '#441', '#496', '#441', '#441', '#441', '#441', '#211', '#441', '#384', '#384', '#384', '#384', '#187', '#441', '#441', '#187', '#187', '#441', '#911', '#911', '#911', '#911', '#441', '#954', '#441', '#954', '#954', '#315', '#441', '#315', '#441', '#315', '#649', '#441', '#441', '#649', '#649', '#815', '#815', '#815', '#441', '#441', '#441', '#441', '#460', '#460', '#441']"
#345,63,9,"['#441', '#441', '#441', '#345', '#441', '#405', '#345', '#405', '#405', '#345', '#2', '#2', '#345', '#2', '#345', '#345', '#485', '#345', '#485', '#485', '#345', '#766', '#766', '#766', '#766', '#345', '#203', '#203', '#203', '#203', '#345', '#556', '#556', '#345', '#345', '#345', '#903', '#903', '#345', '#903', '#5', '#5', '#345', '#5', '#345', '#770', '#770', '#770', '#770', '#770', '#345', '#345', '#18', '#345', '#18', '#345', '#391', '#391', '#345', '#391', '#345', '#658', '#658', '#658', '#658', '#790', '#790', '#345', '#790', '#345', '#362', '#362', '#362', '#362', '#345', '#345', '#336', '#336', '#336', '#336', '#345', '#897', '#897', '#897', '#345', '#235', '#235', '#235', '#235', '#345', '#202', '#202', '#202', '#202', '#345', '#680', '#680', '#680', '#345', '#680', '#345', '#345', '#392', '#345', '#345', '#345', '#240', '#345', '#345', '#345', '#866', '#866', '#866', '#345', '#345', '#133', '#345', '#133', '#133', '#133', '#311', '#311', '#345', '#311', '#345', '#202', '#345', '#345', '#345', '#202', '#746', '#345', '#746', '#746', '#746', '#572', '#572', '#572', '#572', '#345', '#312', '#345', '#345', '#312', '#345', '#345', '#345', '#353', '#353', '#345', '#345', '#219', '#219', '#345', '#345', '#345', '#127', '#127', '#127', '#345', '#939', '#939', '#345', '#345', '#345']"
#103,81,18,"['#802', '#103', '#802', '#802', '#103', '#222', '#222', '#103', '#103', '#103', '#103', '#103', '#72', '#103', '#72', '#103', '#103', '#103', '#103', '#882', '#623', '#103', '#623', '#103', '#623', '#882', '#103', '#103', '#103', '#882', '#103', '#738', '#738', '#738', '#103', '#103', '#226', '#226', '#103', '#226', '#948', '#948', '#948', '#948', '#948', '#45', '#45', '#103', '#45', '#45', '#103', '#342', '#103', '#342', '#103', '#834', '#834', '#103', '#834', '#834', '#103', '#103', '#103', '#243', '#243', '#103', '#927', '#103', '#103', '#927', '#789', '#789', '#103', '#789', '#103', '#103', '#305', '#103', '#305', '#305', '#303', '#303', '#103', '#103', '#103', '#103', '#103', '#103', '#203', '#103', '#103', '#103', '#103', '#103', '#556', '#103', '#103', '#103', '#819', '#819', '#103', '#913', '#913', '#913', '#103', '#131', '#103', '#131', '#131', '#131', '#103', '#103', '#670', '#103', '#670', '#103', '#103', '#103', '#103', '#103', '#103', '#429', '#103', '#429', '#103', '#103', '#311', '#103', '#103', '#311', '#103', '#22', '#103', '#22', '#103', '#103', '#103', '#103', '#466', '#466', '#76', '#103', '#103', '#103', '#103', '#503', '#503', '#503', '#503', '#503', '#103', '#103', '#891', '#891', '#891', '#103', '#355', '#355', '#103', '#355']"
#802,116,22,"['#802', '#103', '#802', '#802', '#103', '#780', '#802', '#780', '#780', '#802', '#802', '#802', '#437', '#802', '#802', '#28', '#28', '#28', '#802', '#28', '#334', '#802', '#334', '#802', '#334', '#458', '#458', '#802', '#458', '#458', '#802', '#802', '#802', '#802', '#209', '#802', '#802', '#802', '#340', '#340', '#828', '#828', '#828', '#828', '#802', '#519', '#519', '#519', '#519', '#802', '#776', '#776', '#802', '#776', '#776', '#792', '#792', '#792', '#792', '#802', '#802', '#802', '#802', '#277', '#802', '#802', '#802', '#802', '#873', '#802', '#802', '#802', '#802', '#674', '#802', '#802', '#802', '#802', '#802', '#802', '#263', '#802', '#263', '#802', '#263', '#802', '#328', '#802', '#328', '#328', '#595', '#595', '#802', '#802', '#802', '#802', '#802', '#802', '#802', '#125', '#239', '#802', '#802', '#802', '#802', '#21', '#802', '#21', '#802', '#21', '#802', '#802', '#25', '#802', '#25', '#171', '#171', '#171', '#802', '#802', '#802', '#802', '#802', '#624', '#802', '#631', '#631', '#802', '#631', '#631', '#556', '#802', '#802', '#556', '#556', '#802', '#768', '#802', '#768', '#768', '#403', '#802', '#403', '#403', '#403', '#802', '#802', '#536', '#536', '#802', '#244', '#802', '#244', '#244', '#244', '#802', '#802', '#180', '#180', '#180', '#802', '#802', '#47', '#47', '#802', '#802', '#802', '#802', '#802', '#376', '#802', '#487', '#802', '#802', '#487', '#278', '#802', '#278', '#278', '#278', '#802', '#802', '#272', '#272', '#802', '#802', '#802', '#802', '#802', '#467', '#802', '#958', '#958', '#958', '#802', '#971', '#971', '#802', '#971', '#802', '#70', '#802', '#802', '#802', '#70', '#346', '#802', '#346', '#346', '#346', '#343', '#802', '#802', '#802', '#802', '#705', '#705', '#802', '#802', '#705', '#802', '#802', '#29', '#802', '#802', '#985', '#985', '#985', '#802', '#985']"
#447,80,14,"['#447', '#8', '#447', '#8', '#447', '#447', '#314', '#447', '#314', '#447', '#497', '#447', '#447', '#497', '#497', '#447', '#640', '#447', '#447', '#640', '#392', '#447', '#447', '#392', '#447', '#447', '#29', '#447', '#29', '#447', '#888', '#888', '#888', '#888', '#447', '#447', '#744', '#447', '#744', '#447', '#175', '#447', '#447', '#175', '#175', '#447', '#335', '#447', '#335', '#335', '#447', '#447', '#447', '#447', '#491', '#611', '#611', '#447', '#611', '#611', '#718', '#718', '#718', '#447', '#447', '#447', '#603', '#447', '#447', '#603', '#182', '#447', '#447', '#182', '#447', '#447', '#882', '#447', '#447', '#882', '#911', '#447', '#911', '#911', '#447', '#261', '#447', '#447', '#261', '#261', '#447', '#176', '#176', '#176', '#176', '#888', '#888', '#888', '#888', '#447', '#447', '#447', '#447', '#447', '#919', '#699', '#699', '#447', '#699', '#699', '#210', '#210', '#447', '#210', '#210', '#447', '#447', '#447', '#139', '#447', '#447', '#917', '#917', '#917', '#917', '#447', '#109', '#447', '#109', '#109', '#447', '#447', '#447', '#447', '#447', '#955', '#955', '#955', '#447', '#955', '#447', '#676', '#447', '#676', '#676', '#203', '#447', '#203', '#203', '#447', '#415', '#415', '#415', '#447', '#447', '#476', '#476', '#447', '#476', '#447', '#936', '#936', '#447', '#447', '#447', '#916', '#916', '#916', '#447', '#916', '#295', '#447', '#447', '#295', '#295']"
#8,124,25,"['#447', '#8', '#447', '#8', '#447', '#8', '#745', '#745', '#745', '#8', '#8', '#8', '#808', '#8', '#8', '#8', '#8', '#8', '#8', '#678', '#191', '#8', '#191', '#8', '#8', '#539', '#8', '#539', '#539', '#539', '#8', '#416', '#416', '#8', '#8', '#8', '#8', '#880', '#8', '#880', '#195', '#195', '#8', '#8', '#8', '#566', '#566', '#566', '#8', '#8', '#8', '#65', '#8', '#8', '#8', '#823', '#8', '#8', '#8', '#823', '#8', '#391', '#391', '#391', '#8', '#150', '#150', '#150', '#150', '#8', '#8', '#8', '#8', '#884', '#8', '#8', '#146', '#146', '#146', '#8', '#827', '#8', '#8', '#8', '#827', '#8', '#239', '#239', '#239', '#8', '#8', '#8', '#574', '#8', '#8', '#8', '#485', '#8', '#8', '#485', '#8', '#8', '#163', '#8', '#163', '#882', '#8', '#882', '#882', '#8', '#8', '#8', '#8', '#867', '#8', '#8', '#175', '#175', '#8', '#8', '#8', '#8', '#34', '#34', '#8', '#8', '#77', '#8', '#8', '#8', '#681', '#681', '#681', '#8', '#681', '#544', '#544', '#8', '#8', '#544', '#8', '#357', '#357', '#357', '#8', '#8', '#8', '#8', '#8', '#8', '#65', '#65', '#8', '#8', '#8', '#8', '#349', '#349', '#349', '#8', '#8', '#8', '#503', '#503', '#8', '#8', '#369', '#369', '#369', '#8', '#8', '#846', '#8', '#846', '#8', '#553', '#553', '#553', '#8', '#8', '#658', '#8', '#8', '#658', '#658', '#351', '#8', '#8', '#351', '#8', '#192', '#192', '#192', '#192', '#8', '#8', '#8', '#8', '#355', '#8', '#8', '#8', '#8', '#8', '#8', '#943', '#943', '#943', '#8', '#8', '#501', '#8', '#8', '#8', '#8', '#832', '#832', '#832', '#8', '#8', '#867', '#867', '#867', '#8', '#8']"
#408,95,16,"['#643', '#408', '#408', '#408', '#643', '#408', '#519', '#519', '#408', '#519', '#472', '#472', '#408', '#408', '#472', '#265', '#265', '#265', '#265', '#408', '#408', '#669', '#408', '#669', '#408', '#517', '#408', '#517', '#408', '#408', '#704', '#704', '#704', '#408', '#408', '#176', '#176', '#176', '#176', '#176', '#427', '#427', '#408', '#427', '#427', '#408', '#408', '#408', '#656', '#656', '#232', '#408', '#232', '#408', '#232', '#601', '#601', '#601', '#601', '#601', '#996', '#996', '#408', '#996', '#408', '#408', '#408', '#135', '#135', '#408', '#408', '#551', '#408', '#408', '#408', '#243', '#243', '#408', '#243', '#243', '#408', '#827', '#827', '#408', '#827', '#408', '#408', '#498', '#498', '#408', '#408', '#408', '#137', '#408', '#137', '#200', '#200', '#408', '#408', '#200', '#236', '#236', '#236', '#236', '#236', '#408', '#493', '#408', '#408', '#493', '#154', '#408', '#154', '#154', '#408', '#408', '#408', '#775', '#408', '#408', '#408', '#408', '#408', '#123', '#408', '#408', '#590', '#590', '#590', '#408', '#408', '#408', '#969', '#408', '#969', '#408', '#136', '#408', '#136', '#408', '#65', '#408', '#408', '#65', '#65', '#716', '#408', '#716', '#408', '#716', '#326', '#408', '#408', '#326', '#326', '#979', '#408', '#979', '#408', '#979', '#110', '#408', '#110', '#110', '#408', '#408', '#408', '#408', '#893', '#893', '#408', '#408', '#248', '#248', '#248', '#408', '#417', '#408', '#408', '#417', '#697', '#697', '#408', '#697', '#408', '#408', '#948', '#948', '#408', '#948', '#408', '#462', '#462', '#408', '#462', '#408', '#408', '#879', '#408', '#879', '#137', '#137', '#408', '#408', '#137', '#394', '#394', '#394', '#394', '#408', '#408', '#636', '#636', '#636', '#636', '#736', '#736', '#736', '#736', '#408']"
#643,92,15,"['#643', '#408', '#408', '#408', '#643', '#643', '#790', '#643', '#643', '#643', '#799', '#799', '#643', '#643', '#799', '#643', '#550', '#643', '#550', '#643', '#922', '#922', '#922', '#643', '#922', '#597', '#597', '#643', '#597', '#597', '#742', '#742', '#643', '#643', '#742', '#847', '#847', '#847', '#643', '#643', '#643', '#643', '#704', '#643', '#643', '#223', '#223', '#223', '#223', '#223', '#643', '#648', '#643', '#643', '#648', '#431', '#431', '#431', '#431', '#431', '#643', '#643', '#512', '#512', '#512', '#478', '#478', '#478', '#643', '#643', '#386', '#386', '#386', '#643', '#386', '#643', '#643', '#104', '#643', '#104', '#941', '#941', '#941', '#941', '#643', '#643', '#643', '#109', '#109', '#109', '#643', '#863', '#863', '#643', '#863', '#799', '#799', '#643', '#643', '#799', '#643', '#498', '#643', '#498', '#643', '#289', '#643', '#643', '#643', '#643', '#847', '#847', '#643', '#643', '#847', '#583', '#643', '#643', '#643', '#583', '#643', '#643', '#643', '#643', '#643', '#524', '#643', '#643', '#524', '#524', '#643', '#912', '#912', '#643', '#912', '#916', '#916', '#916', '#916', '#643', '#643', '#529', '#643', '#643', '#643', '#643', '#232', '#643', '#643', '#232', '#643', '#758', '#758', '#758', '#643', '#643', '#586', '#586', '#643', '#586', '#643', '#96', '#96', '#96', '#643', '#854', '#854', '#643', '#643', '#854', '#643', '#643', '#643', '#643', '#390', '#823', '#643', '#643', '#823', '#643', '#643', '#732', '#643', '#732', '#643', '#643', '#643', '#643', '#707', '#643', '#643', '#643', '#198', '#198', '#198']"
#617,94,14,"['#617', '#282', '#282', '#282', '#282', '#378', '#617', '#378', '#378', '#378', '#963', '#963', '#963', '#963', '#963', '#69', '#617', '#617', '#617', '#69', '#617', '#916', '#916', '#617', '#916', '#766', '#617', '#766', '#617', '#766', '#617', '#617', '#617', '#617', '#16', '#334', '#617', '#334', '#617', '#334', '#617', '#617', '#537', '#617', '#617', '#887', '#887', '#617', '#887', '#617', '#617', '#236', '#236', '#617', '#617', '#30', '#617', '#617', '#617', '#30', '#589', '#617', '#617', '#617', '#589', '#935', '#935', '#935', '#617', '#935', '#617', '#450', '#450', '#450', '#450', '#617', '#617', '#996', '#996', '#996', '#469', '#469', '#469', '#469', '#617', '#162', '#162', '#162', '#162', '#162', '#792', '#792', '#792', '#792', '#792', '#334', '#334', '#617', '#617', '#334', '#918', '#918', '#918', '#918', '#918', '#429', '#429', '#429', '#617', '#617', '#617', '#105', '#617', '#105', '#617', '#617', '#617', '#249', '#249', '#249', '#814', '#617', '#617', '#814', '#617', '#140', '#140', '#140', '#140', '#140', '#219', '#617', '#219', '#617', '#617', '#617', '#617', '#617', '#617', '#598', '#92', '#92', '#92', '#617', '#92', '#473', '#473', '#473', '#473', '#473', '#617', '#519', '#617', '#519', '#519', '#617', '#617', '#291', '#291', '#291', '#46', '#617', '#46', '#46', '#46', '#208', '#208', '#617', '#208', '#208', '#12', '#617', '#617', '#12', '#617', '#617', '#617', '#617', '#617', '#793', '#617', '#703', '#703', '#703', '#703', '#617', '#617', '#726', '#726', '#726', '#884', '#617', '#617', '#884', '#884', '#617', '#551', '#617', '#551', '#551', '#24', '#617', '#617', '#24', '#24', '#617', '#429', '#429', '#617', '#429', '#617', '#617', '#617', '#617', '#617', '#617', '#982', '#982', '#982', '#982', '#617', '#617', '#149', '#149', '#149', '#232', '#232', '#232', '#232', '#232', '#617', '#583', '#583', '#617', '#583', '#214', '#617', '#214', '#214', '#214', '#132', '#132', '#132', '#132', '#132', '#391', '#391', '#617', '#391', '#391', '#617', '#289', '#617', '#617', '#289']"
#282,93,20,"['#617', '#282', '#282', '#282', '#282', '#957', '#957', '#957', '#282', '#282', '#886', '#282', '#282', '#282', '#282', '#282', '#282', '#477', '#477', '#282', '#282', '#282', '#282', '#849', '#282', '#590', '#282', '#282', '#590', '#590', '#282', '#282', '#975', '#282', '#975', '#291', '#282', '#282', '#291', '#291', '#848', '#282', '#282', '#848', '#282', '#317', '#317', '#317', '#317', '#282', '#322', '#282', '#322', '#282', '#322', '#282', '#282', '#315', '#315', '#315', '#282', '#282', '#282', '#179', '#282', '#294', '#282', '#282', '#294', '#294', '#123', '#123', '#282', '#123', '#123', '#282', '#282', '#836', '#836', '#282', '#282', '#282', '#282', '#275', '#282', '#282', '#713', '#282', '#282', '#282', '#282', '#443', '#443', '#443', '#282', '#680', '#282', '#282', '#282', '#282', '#505', '#282', '#282', '#505', '#282', '#282', '#282', '#282', '#282', '#637', '#282', '#282', '#282', '#216', '#282', '#282', '#282', '#888', '#282', '#282', '#282', '#284', '#282', '#282', '#282', '#351', '#351', '#282', '#351', '#282', '#282', '#745', '#745', '#282', '#282', '#282', '#282', '#282', '#540', '#540', '#282', '#375', '#282', '#375', '#282', '#42', '#282', '#282', '#42', '#42', '#688', '#282', '#688', '#688', '#282', '#282', '#282', '#91', '#282', '#91']"
