snum,wins,victories,rounds
#1,123,28,"['#1', '#1', '#1', '#1', '#1', '#1', '#2', '#2', '#2', '#1', '#6', '#6', '#1', '#6', '#1', '#1', '#1', '#1', '#1', '#1', '#2', '#2', '#2', '#2', '#2', '#1', '#1', '#6', '#1', '#1', '#1', '#1', '#1', '#42', '#1', '#5', '#5', '#1', '#1', '#1', '#2', '#1', '#2', '#2', '#2', '#1', '#6', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#999', '#999', '#999', '#999', '#999', '#1', '566', '#1', '#1', '#1', '#5', '#1', '#1', '#1', '#5', '#1', '#999', '#999', '#999', '#1', '#1', '#1', '#1', '#1', '#5', '#5', '#1', '#1', '#5', '#1', '#1', '#1', '#1', '#4', '#4', '#1', '#5', '#1', '#1', '#5', '#1', '#5', '#1', '#1', '#1', '#5', '#5', '#1', '#5', '#1', '#5', '#5', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#5', '#1', '#5', '#5', '#8', '#1', '#1', '#8', '#8', '#2', '#2', '#2', '#2', '#1', '#1', '#140', '#1', '#1', '#1', '#1', '#1', '#1', '#737', '#1', '#201', '#1', '#201', '#201', '#201', '#274', '#1', '#1', '#274', '#1', '#962', '#1', '#1', '#1', '#962', '#774', '#1', '#1', '#774', '#1', '#1', '#1', '#1', '#1', '#66', '#1', '#1', '#1', '#527', '#527', '#1', '#901', '#1', '#1', '#901', '#5', '#1', '#1', '#5', '#1', '#1', '#1', '#1', '#1', '#1', '#727', '#1', '#1', '#1', '#1', '#959', '#959', '#959', '#959', '#1', '#414', '#414', '#1', '#1', '#414', '#2', '#1', '#1', '#2', '#1', '#2', '#2', '#1', '#2', '#2']"
#5,48,8,"['#1', '#1', '#1', '#1', '#1', '#2', '#2', '#2', '#2', '#2', '#1', '#1', '#1', '#1', '#1', '#5', '#5', '#5', '#2', '#2', '#5', '#5', '#1', '#1', '#1', '#2', '#5', '#2', '#5', '#5', '#6', '#6', '#6', '#5', '#5', '#5', '#1', '#1', '#1', '#5', '#1', '#1', '#1', '#1', '#5', '#5', '#1', '#1', '#5', '#1', '#1', '#5', '#1', '#1', '#5', '#5', '#5', '#6', '#6', '#5', '#1', '#5', '#1', '#1', '#1', '#5', '#5', '#1', '#5', '#1', '#5', '#5', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#1', '#5', '#1', '#5', '#5', '#806', '#5', '#806', '#5', '#5', '#104', '#5', '#104', '#104', '#5', '#620', '#5', '#620', '#5', '#5', '#5', '#5', '#5', '#5', '#5', '#736', '#5', '#736', '#736', '#5', '#5', '#1', '#1', '#5', '#1', '#952', '#5', '#952', '#952', '#952', '#378', '#5', '#378', '#378', '#378']"
#2,110,26,"['#1', '#2', '#2', '#2', '#1', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#5', '#5', '#5', '#2', '#2', '#2', '#2', '#2', '#6', '#2', '#2', '#1', '#2', '#2', '#2', '#2', '#5', '#2', '#5', '#5', '#6', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#2', '#420', '#2', '#420', '#420', '#2', '#999', '#2', '#2', '#2', '#3', '#2', '#2', '#2', '#2', '#2', '#2', '#6', '#2', '#6', '#2', '#2', '#876', '#2', '#876', '#2', '#581', '#2', '#2', '#581', '#2', '#2', '#2', '#2', '#1', '#2', '#2', '#743', '#2', '#743', '#379', '#2', '#379', '#2', '#2', '#2', '#2', '#440', '#2', '#2', '#2', '#2', '#962', '#2', '#962', '#2', '#529', '#2', '#2', '#2', '#2', '#2', '#402', '#2', '#2', '#2', '#2', '#2', '#2', '#686', '#2', '#2', '#2', '#2', '#59', '#2', '#2', '#840', '#2', '#840', '#479', '#2', '#2', '#2', '#479', '#2', '#1', '#1', '#2', '#1', '#95', '#2', '#95', '#2', '#95', '#2', '#2', '#1', '#2', '#2']"
#6,27,4,"['#6', '#6', '#1', '#6', '#1', '#2', '#2', '#2', '#2', '#2', '#1', '#1', '#6', '#1', '#1', '#2', '#2', '#2', '#6', '#2', '#1', '#6', '#1', '#1', '#1', '#6', '#2', '#2', '#2', '#2', '#6', '#6', '#6', '#5', '#5', '#5', '#5', '#6', '#6', '#5', '#2', '#2', '#6', '#2', '#6', '#838', '#6', '#6', '#838', '#838', '#6', '#6', '#368', '#368', '#6', '#6', '#535', '#535', '#535', '#535', '#578', '#578', '#578', '#578', '#578', '#516', '#516', '#6', '#516', '#6', '#6', '#694', '#6', '#694', '#6', '#995', '#6', '#6', '#995', '#995']"
#444,35,7,"['#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#444', '#444', '#333', '#333', '#333', '#333', '#333', '#444', '#444', '#333', '#333', '#333', '#444', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#444', '#333', '#333', '#333', '#333', '#333', '#333', '#602', '#444', '#444', '#602', '#602', '#444', '#444', '#444', '#70', '#70', '#678', '#678', '#444', '#444', '#444', '#444', '#123', '#123', '#444', '#444', '#444', '#444', '#444', '#65', '#65', '#394', '#444', '#444', '#394', '#394', '#444', '#444', '#444', '#22', '#444', '#141', '#141', '#444', '#444', '#141', '#77', '#77', '#77', '#77', '#444', '#444', '#84', '#444', '#84', '#444', '#444', '#310', '#444', '#310', '#444']"
#333,68,14,"['#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#444', '#444', '#333', '#333', '#333', '#333', '#333', '#444', '#444', '#333', '#333', '#333', '#444', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#444', '#333', '#333', '#333', '#333', '#333', '#333', '#333', '#689', '#333', '#333', '#333', '#943', '#943', '#943', '#333', '#333', '#728', '#333', '#728', '#333', '#728', '#90', '#90', '#90', '#333', '#90', '#367', '#333', '#367', '#333', '#367', '#459', '#459', '#459', '#333', '#459', '#196', '#196', '#196', '#333', '#196', '#333', '#333', '#333', '#333', '#289', '#333', '#333', '#173', '#333', '#333', '#333', '#107', '#333', '#333', '#107', '#333', '#442', '#442', '#333', '#333', '#333', '#884', '#884', '#333', '#333', '#819', '#333', '#819', '#333', '#819', '#928', '#928', '#333', '#333', '#928']"
#666,33,7,"['#134', '#134', '#666', '#666', '#134', '#666', '#666', '#476', '#476', '#666', '#807', '#666', '#807', '#666', '#807', '#207', '#666', '#666', '#666', '#207', '#268', '#268', '#268', '#666', '#268', '#666', '#666', '#666', '#848', '#666', '#417', '#666', '#666', '#666', '#666', '#666', '#666', '#666', '#666', '#147', '#13', '#666', '#666', '#666', '#666', '#197', '#197', '#197', '#666', '#666', '#666', '#666', '#666', '#579', '#666']"
#134,25,4,"['#134', '#134', '#666', '#666', '#134', '#529', '#529', '#529', '#529', '#134', '#699', '#699', '#699', '#134', '#134', '#134', '#897', '#897', '#897', '#134', '#516', '#134', '#134', '#516', '#516', '#134', '#582', '#134', '#582', '#582', '#134', '#833', '#134', '#833', '#134', '#134', '#740', '#740', '#740', '#134', '#134', '#134', '#448', '#448', '#134', '#91', '#134', '#91', '#134', '#91', '#716', '#716', '#134', '#134', '#134']"
#624,23,3,"['#613', '#613', '#613', '#613', '#613', '#624', '#806', '#806', '#806', '#806', '#624', '#624', '#624', '#624', '#389', '#350', '#624', '#350', '#350', '#624', '#36', '#36', '#36', '#624', '#36', '#624', '#585', '#585', '#585', '#624', '#624', '#495', '#624', '#495', '#495', '#624', '#624', '#624', '#624', '#624', '#624', '#353', '#353', '#624', '#624', '#252', '#252', '#252', '#624', '#252', '#604', '#624', '#604', '#604', '#624']"
#613,18,4,"['#613', '#613', '#613', '#613', '#613', '#488', '#613', '#613', '#488', '#613', '#613', '#613', '#613', '#998', '#613', '#613', '#613', '#452', '#452', '#452', '#133', '#613', '#133', '#133', '#133', '#709', '#613', '#613', '#709', '#613']"
